GRAND_ID,DAM_HGT_M,AREA_SKM,DEPTH_M,DIS_AVG_LS,DOR_PC,ELEV_MASL,CATCH_SKM,GDP_capita,Population,run_mm_syr,inu_pc_umn,sgr_dk_sav,clz_cl_smj,ari_ix_sav,ari_ix_uav,glc_cl_smj,pnv_cl_smj,for_pc_use,crp_pc_use,pst_pc_use,ire_pc_use,gla_pc_use,prm_pc_use,pac_pc_use,fmh_cl_smj,swc_pc_uyr,lit_cl_smj,ero_kh_uav,pop_ct_usu,ppd_pk_uav,urb_pc_use,hft_ix_u09,hdi_ix_sav
2687,115.0,3.41,62.5,135393,5.0,231,7203,34272.36038,46647000,695,2,223.0,11,120,120,4,9.0,89,4,10,2,0,0,10,5,79,5,1877,851.2330000000001,51.263999999999996,2,111,879
2688,90.0,0.99,91.6,6585,43.7,305,200,34272.36038,46647000,695,2,223.0,11,120,120,4,9.0,89,4,10,2,0,0,10,5,79,5,1877,851.2330000000001,51.263999999999996,2,111,879
2690,27.0,1.37,12.4,243717,0.2,115,12781,34272.36038,46647000,695,2,223.0,11,120,120,4,9.0,89,4,10,2,0,0,10,5,79,5,1877,851.2330000000001,51.263999999999996,2,111,879
2694,29.0,3.46,17.4,254809,0.7,88,13458,34272.36038,46647000,695,2,223.0,11,120,120,4,9.0,89,4,10,2,0,0,10,5,79,5,1877,851.2330000000001,51.263999999999996,2,111,879
2696,85.0,1.24,48.9,2362,81.4,894,131,34272.36038,46647000,695,2,223.0,11,120,120,4,9.0,89,4,10,2,0,0,10,5,79,5,1877,851.2330000000001,51.263999999999996,2,111,879
2697,107.0,5.49,43.4,12677,59.6,690,715,34272.36038,46647000,695,2,223.0,11,120,120,4,9.0,89,4,10,2,0,0,10,5,79,5,1877,851.2330000000001,51.263999999999996,2,111,879
2698,49.0,1.66,25.9,387,352.3,1330,22,34272.36038,46647000,695,2,223.0,11,120,120,4,9.0,89,4,10,2,0,0,10,5,79,5,1877,851.2330000000001,51.263999999999996,2,111,879
2701,33.0,3.35,13.3,299083,0.5,71,15130,34272.36038,46647000,695,2,223.0,11,120,120,4,9.0,89,4,10,2,0,0,10,5,79,5,1877,851.2330000000001,51.263999999999996,2,111,879
2703,141.0,8.48,63.2,2903,585.2,872,166,34272.36038,46647000,695,2,223.0,11,120,120,4,9.0,89,4,10,2,0,0,10,5,79,5,1877,851.2330000000001,51.263999999999996,2,111,879
2708,64.0,12.33,13.7,11978,44.6,830,797,34272.36038,46647000,330,3,106.0,9,69,69,16,11.0,47,34,13,10,0,0,7,5,60,3,2195,422.05400000000003,26.343000000000004,1,105,892
2709,42.0,3.37,10.7,17793,6.4,785,1340,34272.36038,46647000,330,3,106.0,9,69,69,16,11.0,47,34,13,10,0,0,7,5,60,3,2195,422.05400000000003,26.343000000000004,1,105,892
2710,48.0,4.48,17.9,18949,13.4,533,851,34272.36038,46647000,952,71,222.0,11,145,127,4,9.0,34,4,1,2,0,0,0,5,81,9,131,157.42600000000002,4978.207,90,391,840
2711,50.0,2.82,30.7,3957,69.5,823,151,34272.36038,46647000,952,71,222.0,11,145,127,4,9.0,34,4,1,2,0,0,0,5,81,9,131,157.42600000000002,4978.207,90,391,840
2713,110.0,6.21,62.8,38944,31.8,321,1509,27936.89609,10289000,952,71,222.0,11,145,127,4,9.0,34,4,1,2,0,0,0,5,81,9,131,157.42600000000002,4978.207,90,391,840
2714,43.0,1.35,11.5,45088,1.1,79,1684,27936.89609,10289000,952,71,222.0,11,145,127,4,9.0,34,4,1,2,0,0,0,5,81,9,131,157.42600000000002,4978.207,90,391,840
2715,110.0,2.25,73.1,5985,87.2,697,218,27936.89609,10289000,952,71,222.0,11,145,127,4,9.0,34,4,1,2,0,0,0,5,81,9,131,157.42600000000002,4978.207,90,391,840
2717,94.0,15.97,35.6,2664,676.9,833,102,27936.89609,10289000,952,71,222.0,11,145,127,4,9.0,34,4,1,2,0,0,0,5,81,9,131,157.42600000000002,4978.207,90,391,840
2718,75.0,1.42,45.8,17010,12.1,290,608,27936.89609,10289000,952,71,222.0,11,145,127,4,9.0,34,4,1,2,0,0,0,5,81,9,131,157.42600000000002,4978.207,90,391,840
2719,97.0,3.0,32.2,6379,48.0,690,236,27936.89609,10289000,952,71,222.0,11,145,127,4,9.0,34,4,1,2,0,0,0,5,81,9,131,157.42600000000002,4978.207,90,391,840
2720,76.0,4.33,39.4,22224,24.3,154,770,27936.89609,10289000,952,71,222.0,11,145,127,4,9.0,34,4,1,2,0,0,0,5,81,9,131,157.42600000000002,4978.207,90,391,840
2721,49.0,0.96,22.9,3724,18.7,332,124,27936.89609,10289000,952,71,222.0,11,145,127,4,9.0,34,4,1,2,0,0,0,5,81,9,131,157.42600000000002,4978.207,90,391,840
2723,55.0,2.7,10.4,277312,0.3,590,63168,34272.36038,46647000,162,3,184.0,9,51,56,16,3.0,26,48,16,7,0,0,6,5,50,11,1729,1885.644,29.511999999999997,1,116,874
2725,100.0,22.75,52.7,147569,25.8,651,15962,34272.36038,46647000,330,3,106.0,9,69,69,16,11.0,47,34,13,10,0,0,7,5,60,3,2195,422.05400000000003,26.343000000000004,1,105,892
2728,50.0,1.66,40.1,281850,0.7,621,62985,34272.36038,46647000,162,3,184.0,9,51,56,16,3.0,26,48,16,7,0,0,6,5,50,11,1729,1885.644,29.511999999999997,1,116,874
2730,100.0,0.53,120.4,276751,0.7,574,63681,27936.89609,10289000,162,3,184.0,9,51,56,16,3.0,26,48,16,7,0,0,6,5,50,11,1729,1885.644,29.511999999999997,1,116,874
2731,44.0,0.37,39.2,2471,18.6,879,830,34272.36038,46647000,97,2,70.0,9,52,52,16,5.0,25,47,16,5,0,0,4,5,48,5,1455,309.937,20.011,0,105,892
2732,87.0,2.22,58.0,277691,1.5,402,63837,27936.89609,10289000,162,3,184.0,9,51,56,16,3.0,26,48,16,7,0,0,6,5,50,11,1729,1885.644,29.511999999999997,1,116,874
2733,202.0,37.05,71.5,32737,256.5,690,6944,34272.36038,46647000,151,2,90.0,9,47,47,16,11.0,21,38,23,6,0,0,9,5,44,9,1315,277.58,39.308,1,107,892
2735,140.0,2.24,51.3,313993,1.2,418,71834,34272.36038,46647000,423,3,179.0,11,92,65,6,8.0,34,41,15,7,0,0,7,5,55,9,1702,3823.724,39.412,1,112,850
2736,48.0,5.03,19.3,418371,0.7,114,85202,27936.89609,10289000,423,3,179.0,11,92,65,6,8.0,34,41,15,7,0,0,7,5,55,9,1702,3823.724,39.412,1,112,850
2737,60.0,14.09,7.8,674462,0.5,8,97238,27936.89609,10289000,423,3,179.0,11,92,65,6,8.0,34,41,15,7,0,0,7,5,55,9,1702,3823.724,39.412,1,112,850
2738,42.0,8.74,10.9,493291,0.6,84,90567,27936.89609,10289000,423,3,179.0,11,92,65,6,8.0,34,41,15,7,0,0,7,5,55,9,1702,3823.724,39.412,1,112,850
2739,49.0,5.04,16.5,379775,0.7,118,80803,27936.89609,10289000,423,3,179.0,11,92,65,6,8.0,34,41,15,7,0,0,7,5,55,9,1702,3823.724,39.412,1,112,850
2741,69.0,2.33,53.2,74743,5.3,69,3273,27936.89609,10289000,423,3,179.0,11,92,65,6,8.0,34,41,15,7,0,0,7,5,55,9,1702,3823.724,39.412,1,112,850
2742,57.0,7.98,18.6,525262,0.9,32,91905,27936.89609,10289000,423,3,179.0,11,92,65,6,8.0,34,41,15,7,0,0,7,5,55,9,1702,3823.724,39.412,1,112,850
2744,83.0,5.13,35.4,313146,1.8,198,72077,34272.36038,46647000,423,3,179.0,11,92,65,6,8.0,34,41,15,7,0,0,7,5,55,9,1702,3823.724,39.412,1,112,850
2778,62.0,0.89,100.0,10118,27.9,130,653,27936.89609,10289000,532,73,125.0,11,103,69,4,9.0,45,39,8,0,0,0,44,5,62,8,1449,134.963,519.05,28,447,835
2791,136.0,5.72,125.9,32441,70.4,265,2430,27936.89609,10289000,375,1,120.0,11,101,101,4,9.0,85,8,5,5,0,0,7,5,72,8,985,258.557,51.20399999999999,1,118,832
2792,65.0,1.46,33.6,34845,4.5,190,2619,27936.89609,10289000,375,1,120.0,11,101,101,4,9.0,85,8,5,5,0,0,7,5,72,8,985,258.557,51.20399999999999,1,118,832
2793,30.0,1.77,12.4,43868,1.6,228,4468,34272.36038,46647000,247,0,145.0,12,37,37,16,11.0,45,11,24,8,0,0,8,5,35,3,1179,118.833,26.605999999999998,0,103,864
2795,62.0,8.51,20.7,119654,4.7,284,36744,34272.36038,46647000,104,3,102.0,11,37,43,16,11.0,25,41,13,5,0,0,11,5,40,8,1435,7282.097,198.293,6,133,874
2797,36.0,5.94,6.0,773,145.6,254,108,34272.36038,46647000,104,3,102.0,11,37,43,16,11.0,25,41,13,5,0,0,11,5,40,8,1435,7282.097,198.293,6,133,874
2799,55.0,9.23,12.2,105651,3.4,352,34722,34272.36038,46647000,104,3,102.0,11,37,43,16,11.0,25,41,13,5,0,0,11,5,40,8,1435,7282.097,198.293,6,133,874
2800,135.0,45.32,69.8,236677,42.4,195,51613,34272.36038,46647000,233,3,87.0,12,67,47,16,9.0,32,32,15,5,0,0,11,5,44,8,1180,7863.356,127.243,4,118,838
2807,129.0,6.78,128.9,8750,316.7,641,3330,34272.36038,46647000,63,4,101.0,11,42,42,16,11.0,18,44,6,9,0,0,6,7,39,6,1506,850.6510000000001,39.632,2,107,866
2809,43.0,4.38,21.1,289820,1.0,75,59133,27936.89609,10289000,233,3,87.0,12,67,47,16,9.0,32,32,15,5,0,0,11,5,44,8,1180,7863.356,127.243,4,118,838
2815,84.0,0.29,100.0,32740,2.8,254,16387,34272.36038,46647000,63,4,101.0,11,42,42,16,11.0,18,44,6,9,0,0,6,7,39,6,1506,850.6510000000001,39.632,2,107,866
2817,112.0,2.56,45.3,32588,11.3,338,16330,34272.36038,46647000,63,4,101.0,11,42,42,16,11.0,18,44,6,9,0,0,6,7,39,6,1506,850.6510000000001,39.632,2,107,866
